Sample in Buffer,Sample in Window,TRIGGER,ANC_SYSTEM/Wanc[0]_24[23:0],ANC_SYSTEM/Wanc[1]_25[23:0],ANC_SYSTEM/Wanc[2]_26[23:0],ANC_SYSTEM/Wanc[3]_27[23:0],ANC_SYSTEM/Wanc[4]_28[23:0],ANC_SYSTEM/Wanc[5]_29[23:0],ANC_SYSTEM/Wanc[6]_30[23:0],ANC_SYSTEM/Wanc[7]_31[23:0],ANC_SYSTEM/Wanc[8]_32[23:0],ANC_SYSTEM/Wanc[9]_33[23:0],ANC_SYSTEM/Wanc[10]_34[23:0],ANC_SYSTEM/Wanc[11]_35[23:0],ANC_SYSTEM/Wanc[12]_36[23:0],ANC_SYSTEM/Wanc[13]_37[23:0],ANC_SYSTEM/Wanc[14]_38[23:0],ANC_SYSTEM/Wanc[15]_39[23:0],ANC_SYSTEM/Wanc[16]_40[23:0],ANC_SYSTEM/Wanc[17]_41[23:0],ANC_SYSTEM/Wanc[18]_42[23:0],ANC_SYSTEM/Wanc[19]_43[23:0],ANC_SYSTEM/Wanc[20]_44[23:0],ANC_SYSTEM/Wanc[21]_45[23:0],ANC_SYSTEM/Wanc[22]_46[23:0],ANC_SYSTEM/Wanc[23]_47[23:0],ANC_SYSTEM/Wanc[24]_48[23:0],ANC_SYSTEM/Wanc[25]_49[23:0],ANC_SYSTEM/Wanc[26]_50[23:0],ANC_SYSTEM/Wanc[27]_51[23:0],ANC_SYSTEM/Wanc[28]_52[23:0],ANC_SYSTEM/Wanc[29]_53[23:0],ANC_SYSTEM/Wanc[30]_54[23:0],ANC_SYSTEM/Wanc[31]_55[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
0,0,0,703864,1079184,1465706,1859890,2259221,2663387,3070997,3480307,3890800,4297064,4691470,5065747,5411590,5718993,5981350,6192662,6350539,6452717,6500203,6492857,6433392,6326956,6166496,5943921,5660248,5320955,4955542,4592456,4229659,3863003,3489645,3122142
1,1,0,703864,1079184,1465706,1859890,2259221,2663387,3070997,3480307,3890800,4297064,4691470,5065747,5411590,5718993,5981350,6192662,6350539,6452717,6500203,6492857,6433392,6326956,6166496,5943921,5660248,5320955,4955542,4592456,4229659,3863003,3489645,3122142
2,2,0,703864,1079184,1465706,1859890,2259221,2663387,3070997,3480307,3890800,4297064,4691470,5065747,5411590,5718993,5981350,6192662,6350539,6452717,6500203,6492857,6433392,6326956,6166496,5943921,5660248,5320955,4955542,4592456,4229659,3863003,3489645,3122142
3,3,0,4128062,1079198,1465722,1859909,2259235,2663393,3071001,3480315,3890812,4297078,4691485,5065762,5411602,5719005,5981368,6192689,6350567,6452739,6500213,6492855,6433386,6326946,6166486,5943918,5660247,5320950,4955532,4592439,4229641,3862989,3489633,3122139
4,4,0,703873,1079198,1465722,1859909,2259235,2663393,3071001,3480315,3890812,4297078,4691485,5065762,5411602,5719005,5981368,6192689,6350567,6452739,6500213,6492855,6433386,6326946,6166486,5943918,5660247,5320950,4955532,4592439,4229641,3862989,3489633,3122139
5,5,0,703873,1079198,1465722,1859909,2259235,2663393,3071001,3480315,3890812,4297078,4691485,5065762,5411602,5719005,5981368,6192689,6350567,6452739,6500213,6492855,6433386,6326946,6166486,5943918,5660247,5320950,4955532,4592439,4229641,3862989,3489633,3122139
6,6,0,703873,1079198,1465722,1859909,2259235,2663393,3071001,3480315,3890812,4297078,4691485,5065762,5411602,5719005,5981368,6192689,6350567,6452739,6500213,6492855,6433386,6326946,6166486,5943918,5660247,5320950,4955532,4592439,4229641,3862989,3489633,3122139
7,7,0,703873,1079198,1465722,1859909,2259235,2663393,3071001,3480315,3890812,4297078,4691485,5065762,5411602,5719005,5981368,6192689,6350567,6452739,6500213,6492855,6433386,6326946,6166486,5943918,5660247,5320950,4955532,4592439,4229641,3862989,3489633,3122139
8,8,0,703873,1079198,1465722,1859909,2259235,2663393,3071001,3480315,3890812,4297078,4691485,5065762,5411602,5719005,5981368,6192689,6350567,6452739,6500213,6492855,6433386,6326946,6166486,5943918,5660247,5320950,4955532,4592439,4229641,3862989,3489633,3122139
