Sample in Buffer,Sample in Window,TRIGGER,ANC_SYSTEM/Wanc[0]_0[23:0],ANC_SYSTEM/Wanc[1]_1[23:0],ANC_SYSTEM/Wanc[2]_2[23:0],ANC_SYSTEM/Wanc[3]_3[23:0],ANC_SYSTEM/Wanc[4]_4[23:0],ANC_SYSTEM/Wanc[5]_5[23:0],ANC_SYSTEM/Wanc[6]_6[23:0],ANC_SYSTEM/Wanc[7]_7[23:0],ANC_SYSTEM/Wanc[8]_8[23:0],ANC_SYSTEM/Wanc[9]_9[23:0],ANC_SYSTEM/Wanc[10]_10[23:0],ANC_SYSTEM/Wanc[11]_11[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
0,0,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
1,1,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
2,2,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
3,3,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
4,4,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
5,5,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
6,6,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
7,7,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
8,8,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
9,9,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
10,10,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
11,11,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
12,12,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
13,13,0,-882808,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
14,14,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
15,15,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
16,16,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
17,17,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
18,18,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
19,19,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
20,20,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
21,21,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
22,22,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
23,23,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
24,24,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
25,25,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
26,26,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
27,27,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
28,28,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
29,29,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
30,30,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
31,31,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
32,32,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
33,33,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
34,34,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
35,35,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
36,36,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
37,37,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
38,38,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
39,39,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
40,40,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
41,41,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
42,42,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
43,43,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
44,44,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
45,45,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
46,46,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
47,47,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
48,48,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
49,49,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
50,50,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
51,51,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
52,52,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
53,53,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
54,54,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
55,55,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
56,56,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
57,57,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
58,58,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
59,59,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
60,60,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
61,61,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
62,62,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
63,63,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
64,64,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
65,65,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
66,66,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
67,67,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
68,68,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
69,69,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
70,70,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
71,71,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
72,72,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
73,73,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
74,74,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
75,75,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
76,76,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
77,77,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
78,78,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
79,79,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
80,80,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
81,81,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
82,82,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
83,83,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
84,84,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
85,85,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
86,86,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
87,87,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
88,88,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
89,89,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
90,90,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
91,91,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
92,92,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
93,93,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
94,94,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
95,95,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
96,96,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
97,97,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
98,98,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
99,99,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
100,100,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
101,101,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
102,102,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
103,103,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
104,104,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
105,105,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
106,106,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
107,107,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
108,108,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
109,109,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
110,110,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
111,111,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
112,112,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
113,113,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
114,114,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
115,115,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
116,116,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
117,117,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
118,118,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
119,119,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
120,120,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
121,121,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
122,122,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
123,123,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
124,124,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
125,125,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
126,126,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
127,127,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
128,128,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
129,129,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
130,130,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
131,131,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
132,132,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
133,133,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
134,134,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
135,135,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
136,136,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
137,137,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
138,138,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
139,139,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
140,140,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
141,141,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
142,142,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
143,143,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
144,144,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
145,145,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
146,146,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
147,147,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
148,148,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
149,149,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
150,150,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
151,151,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
152,152,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
153,153,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
154,154,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
155,155,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
156,156,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
157,157,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
158,158,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
159,159,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
160,160,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
161,161,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
162,162,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
163,163,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
164,164,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
165,165,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
166,166,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
